爱不释手	﻿愛不釋手	ài bù shì shǒu	to love sth too much to part with it (idiom); to fondle admiringly	
爱屋及乌	愛屋及烏	ài wū jí wū	lit. love the house and its crow (idiom); involvement with sb and everyone connected; Love me, love my dog.	
按部就班	按部就班	àn bù jiù bān	to follow the prescribed order; to keep to the working routine (idiom)	
百年树人	百年樹人	bǎi nián shù rén	It takes ten years to nurture a tree, but a hundred years to train a man (idiom); fig. a good education program takes a long time to develop; cf. 十年樹木 ，十年树木 ，百年树人	
百折不挠	百摺不撓	bǎi zhé bù náo	to keep on fighting in spite of all setbacks (idiom); to be undaunted by repeated setbacks; to be indomitable	
班门弄斧	班門弄斧	bān mén nòng fǔ	to display one's slight skill before an expert (idiom)	
半途而废	半途而廢	bàn tú ér fèi	to give up halfway (idiom); leave sth unfinished	
包罗万象	包羅萬象	bāo luó wàn xiàng	all-embracing; all-inclusive	
闭门造车	閉門造車	bì mén zào chē	lit. to build a cart behind closed doors; to be overly subjective and disregard the outside world (idiom)	
变本加厉	變本加厲	biàn běn jiā lì	lit. change to more severe (idiom); to become more intense (esp. of shortcoming); to aggravate; to intensify	
标新立异	標新立異	biāo xīn lì yì	to make a show of being original or unconventional (idiom)	
别出心裁	彆齣心裁	bié chū xīn cái	to hit on sth new (idiom); to display originality; to adopt an original approach	
宾至如归	賓至如歸	bīn zhì rú guī	guests feel at home (in a hotel, guest house etc); a home away from home	
不耻下问	不恥下問	bù chǐ xià wèn	not feel ashamed to ask and learn from one's subordinates	
不攻自破	不攻自破	bù gōng zì pò	(of a rumor etc) to collapse (in the light of facts etc); to be discredited	
不可救药	不可救藥	bù kě jiù yào	incurable; incorrigible; beyond cure; hopeless	
不可思议	不可思議	bù kě sī yì	inconceivable (idiom); unimaginable; unfathomable	
不劳而获	不勞而獲	bù láo ér huò	to reap without sowing (idiom)	
不务正业	不務正業	bù wù zhèng yè	not to engage in honest work; to ignore one's proper occupation; not to attend to one's proper duties	
不省人事	不省人事	bù xǐng rén shì	to lose consciousness; unconscious; in a coma	
不遗余力	不遺餘力	bù yí yú lì	to spare no pains or effort (idiom); to do one's utmost	
不翼而飞	不翼而飛	bù yì ér fēi	to disappear without trace; to vanish all of a sudden; to spread fast; to spread like wildfire	
不择手段	不擇手段	bù zé shǒu duàn	by fair means or foul; by hook or by crook; unscrupulously	
不自量力	不自量力	bù zì liàng lì	to overestimate one's capabilities	
长年累月	長年纍月	cháng nián lěi yuè	year in, year out (idiom); (over) many years	
趁火打劫	趁火打劫	chèn huǒ dǎ jié	to loot a burning house; to profit from sb's misfortune (idiom)	
重蹈覆辙	重蹈覆轍	chóng dǎo fù zhé	to follow the track of an overturned cart; to repeat a disastrous policy	
愁眉不展	愁眉不展	chóu méi bù zhǎn	with a worried frown	
